CODUSU;NRO_HOGAR;COMPONENTE;ANO4;TRIMESTRE;AGLOMERADO;POND_TIC;RESPONDENTE;IP_III_04;IP_III_05;IP_III_06
"TQRMNOPSSHLOLRCDEFIAH00600577";1;2;2018;4;2;633;1;2;2;1
"TQRMNOPSSHLOLRCDEFIAH00600577";1;3;2018;4;2;633;1;2;2;2
"TQRMNOPSTHKMKUCDEFIAH00622903";1;1;2018;4;2;626;1;2;2;1
"TQRMNOPSTHKMKUCDEFIAH00622903";1;2;2018;4;2;626;1;2;2;2
"TQRMNOPSTHKMKUCDEFIAH00622903";1;3;2018;4;2;626;1;2;2;1
"TQRMNOPSTHKMKUCDEFIAH00622903";1;4;2018;4;2;626;1;2;2;2
"TQRMNOPSTHLOLRCDEFIAH00600556";1;1;2018;4;2;633;1;2;2;1
"TQRMNOPSTHLOLRCDEFIAH00600556";1;2;2018;4;2;633;1;2;2;2
"TQRMNOPSTHLOLRCDEFIAH00600556";1;3;2018;4;2;633;1;2;2;2
"TQRMNOPSTHLOLRCDEFIAH00600556";1;4;2018;4;2;633;1;2;2;2
"TQRMNOPSTHLOLRCDEFIAH00600556";1;5;2018;4;2;633;1;2;2;2
"TQRMNOPSTHLOLRCDEFIAH00600556";1;6;2018;4;2;633;1;2;2;1
"TQRMNOPSUHKOLUCDEFIAH00617379";1;1;2018;4;2;660;1;2;2;1
"TQRMNOPSVHJLKUCDEFIAH00622914";1;1;2018;4;2;1117;1;1;1;1
"TQRMNOPSVHKMLLCDEFIAH00617420";1;1;2018;4;2;560;1;1;2;1
"TQRMNOPSVHKMLLCDEFIAH00617420";1;2;2018;4;2;560;1;1;2;1
"TQRMNOPSVHKOLUCDEFIAH00617476";1;1;2018;4;2;660;2;1;1;1
"TQRMNOPSVHKOLUCDEFIAH00617476";1;2;2018;4;2;660;2;1;2;1
"TQRMNOPSVHKOLUCDEFIAH00617476";1;3;2018;4;2;660;2;1;2;1
"TQRMNOPSVHLOKMCDEFIAH00600501";1;1;2018;4;2;688;2;1;2;1
"TQRMNOPSVHLOKMCDEFIAH00600501";1;2;2018;4;2;688;2;1;2;1
"TQRMNOPSVHLOKMCDEFIAH00600501";1;3;2018;4;2;688;2;1;2;1
"TQRMNOPSVHLOKMCDEFIAH00600501";1;4;2018;4;2;688;2;1;2;1
"TQRMNOPSWHJLKUCDEFIAH00622906";1;1;2018;4;2;1117;1;1;1;1
"TQRMNOPSWHKKKPCDEFIAH00617479";1;1;2018;4;2;1258;1;1;1;1
"TQRMNOPSWHKKKPCDEFIAH00617479";1;2;2018;4;2;1258;1;1;1;1
