,codigo_vivienda,nro_hogar,tiene_computadora,acceso_internet,uso_internet,uso_computadora,uso_movil
240,TQRMNOPXYHLOKRCDEIHJF00604148,2,1,1,1,1,1
241,TQRMNOPXYHLOKRCDEIHJF00604148,2,1,1,1,1,2
242,TQRMNOPYPHLMKUCDEIHJF00604104,1,1,1,1,1,1
243,TQRMNOPYPHLMKUCDEIHJF00604104,1,1,1,1,1,1
244,TQRMNOPYPHLMKUCDEIHJF00604104,1,1,1,1,1,1
245,TQRMNOPYPHMOKMCDEIHJF00598504,1,1,1,1,1,1
246,TQRMNOPYPHMOKMCDEIHJF00598504,1,1,1,1,1,1
247,TQRMNOPYPHMOKMCDEIHJF00598504,1,1,1,1,1,1
248,TQRMNOPYVHKOKUCDEIHJF00620849,1,1,1,1,2,1
249,TQRMNOPYVHKOKUCDEIHJF00620849,1,1,1,2,2,1
250,TQRMNOPYVHKOKUCDEIHJF00620849,1,1,1,1,2,1
251,TQRMNOPYVHKOKUCDEIHJF00620849,1,1,1,1,1,1
252,TQRMNOPYVHKOKUCDEIHJF00620849,1,1,1,1,1,1
253,TQRMNOPYVHKOKUCDEIHJF00620849,1,1,1,1,1,1
254,TQRMNOPYVHKOKUCDEIHJF00620849,1,1,1,1,1,1
255,TQRMNOPYWHKOKQCDEIHJF00620967,1,1,1,1,2,1
256,TQRMNOPYWHKOKQCDEIHJF00620967,1,1,1,1,2,1
257,TQRMNOPYWHKOKUCDEIHJF00620936,1,1,1,1,2,1
258,TQRMNOPYWHKOKUCDEIHJF00620936,1,1,1,1,2,1
259,TQRMNOPYWHKOKUCDEIHJF00620936,1,1,1,1,2,1
260,TQRMNOPYWHKOKUCDEIHJF00620936,1,1,1,1,2,2
261,TQRMNOPYWHKOKUCDEIHJF00620936,1,1,1,1,2,2
262,TQRMNOPYXHKOKQCDEIHJF00620935,1,1,1,1,1,1
263,TQRMNOPYXHKOKQCDEIHJF00620935,1,1,1,1,1,1
264,TQRMNOPYXHKOKQCDEIHJF00620935,1,1,1,1,1,1
265,TQRMNOPYXHKOKQCDEIHJF00620935,1,1,1,1,1,1
266,TQRMNOPYXHKOKQCDEIHJF00620935,1,1,1,1,2,1
267,TQRMNOPYXHKOKUCDEIHJF00620945,1,1,1,1,1,1
268,TQRMNOPYXHKOKUCDEIHJF00620945,1,1,1,1,1,1
269,TQRMNOPYXHKOKUCDEIHJF00620945,1,1,1,1,2,2
270,TQRMNOPYXHKOKUCDEIHJF00620945,1,1,1,1,2,2
271,TQRMNOPYXHKOKUCDEIHJF00620945,1,1,1,1,2,2
272,TQRMNOPYXHMOKOCDEIHJF00620860,1,1,1,1,2,1
273,TQRMNOPYXHMOKOCDEIHJF00620860,1,1,1,1,2,1
